# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Tue Aug  5 04:50:37 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00034781 -1.65000 10.10000 0.4721762240 2.2076879165    0.472 -1.151  3.6624  4.864    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.77e-15      0.00 7.505e-01 2.491e-01 6.854e-05 1.849e-05 1.677e-04 -1.000 3.812e-04 7.648 9.514 9.044 8.106 7.471 6.931 6.225 5.696 5.564
0.00034781 -1.65000 10.10000 0.5000000000 2.2374541529    0.500 -1.048  3.6750  4.837    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.07e-15      0.00 7.505e-01 2.491e-01 6.854e-05 1.849e-05 1.677e-04 -1.000 3.812e-04 7.390 9.027 8.664 7.781 7.190 6.678 6.009 5.501 5.381
0.00034781 -1.65000 10.10000 0.5500000715 2.2836583126    0.550 -0.834  3.6986  4.758    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-14      0.00 7.865e-01 2.132e-01 5.929e-05 1.601e-05 1.452e-04 -1.000 2.932e-04 6.855 8.098 7.933 7.142 6.622 6.156 5.556 5.097 4.995
0.00034781 -1.65000 10.10000 0.6000000238 2.3211213258    0.600 -0.621  3.7260  4.693    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.75e-14      0.00 7.984e-01 2.013e-01 5.640e-05 1.523e-05 1.384e-04 -1.000 3.055e-04 6.322 7.193 7.218 6.530 6.075 5.656 5.132 4.728 4.644
0.00034781 -1.65000 10.10000 0.6015866995 2.3221934646    0.601 -0.614  3.7269  4.691    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -1.78e-14      0.00 7.989e-01 2.008e-01 5.629e-05 1.521e-05 1.381e-04 -1.000 3.069e-04 6.305 7.164 7.194 6.510 6.057 5.640 5.119 4.716 4.633
0.00034781 -1.65000 10.10000 0.6125331521 2.3294164241    0.612 -0.565  3.7337  4.676    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1    -2e-14      0.00 8.020e-01 1.977e-01 5.555e-05 1.501e-05 1.363e-04 -1.000 3.162e-04 6.182 6.964 7.031 6.373 5.934 5.528 5.025 4.634 4.556
0.00034781 -1.65000 10.10000 0.6231212020 2.3361259513    0.623 -0.517  3.7402  4.662    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.26e-14      0.00 8.052e-01 1.945e-01 5.480e-05 1.481e-05 1.345e-04 -1.000 3.186e-04 6.062 6.774 6.876 6.242 5.816 5.420 4.933 4.553 4.479
0.00034781 -1.65000 10.10000 0.6329596639 2.3421296535    0.633 -0.472  3.7461  4.648    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -4.21e-19      0.00 8.083e-01 1.914e-01 5.408e-05 1.462e-05 1.328e-04 -1.000 3.148e-04 5.950 6.607 6.734 6.121 5.707 5.321 4.847 4.476 4.407
0.00034781 -1.65000 10.10000 0.6421027780 2.3475197774    0.642 -0.430  3.7515  4.634    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -9.03e-17      0.00 8.113e-01 1.884e-01 5.337e-05 1.443e-05 1.311e-04 -1.000 2.988e-04 5.845 6.452 6.602 6.008 5.606 5.229 4.767 4.403 4.338
0.00034781 -1.65000 10.10000 0.6499999762 2.3520353107    0.650 -0.393  3.7561  4.621    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -3.08e-14      0.00 8.139e-01 1.857e-01 5.275e-05 1.427e-05 1.296e-04 -1.000 3.201e-04 5.753 6.319 6.488 5.911 5.518 5.149 4.697 4.340 4.279
0.00034781 -1.65000 10.10000 0.6606500149 2.3579287212    0.660 -0.343  3.7619  4.600    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -3.51e-14      0.00 8.185e-01 1.812e-01 5.168e-05 1.398e-05 1.271e-04 -1.000 3.150e-04 5.628 6.144 6.334 5.779 5.398 5.039 4.600 4.250 4.194
0.00034781 -1.65000 10.10000 0.6715826988 2.3637554967    0.671 -0.290  3.7677  4.578    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -3.36e-14      0.00 8.235e-01 1.762e-01 5.052e-05 1.367e-05 1.243e-04 -1.000 2.943e-04 5.495 5.970 6.177 5.642 5.273 4.923 4.495 4.153 4.102
0.00034781 -1.65000 10.10000 0.6820068359 2.3691116295    0.682 -0.238  3.7731  4.554    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -1.36e-14      0.00 8.286e-01 1.711e-01 4.934e-05 1.336e-05 1.215e-04 -1.000 2.533e-04 5.365 5.803 6.024 5.509 5.150 4.808 4.392 4.057 4.011
0.00034781 -1.65000 10.10000 0.6917189360 2.3739352065    0.691 -0.188  3.7781  4.530    1  0.000  0.541     0.00     0.00     0.00     0.00     0.00 -1 -1.32e-16      0.00 8.336e-01 1.661e-01 4.817e-05 1.305e-05 1.187e-04 -1.000 2.616e-04 5.240 5.646 5.878 5.380 5.031 4.698 4.292 3.963 3.921
0.00034781 -1.65000 10.10000 0.6999999881 2.3779266974    0.700 -0.144  3.7823  4.507    1  0.000  0.541     0.00     0.00     0.00     0.00     0.00 -1 -5.99e-14      0.00 8.382e-01 1.616e-01 4.713e-05 1.277e-05 1.162e-04 -1.000 2.604e-04 5.129 5.511 5.750 5.267 4.925 4.599 4.202 3.879 3.840
0.00034781 -1.65000 10.10000 0.7022264600 2.3789814135    0.702 -0.131  3.7833  4.501    1  0.000  0.540     0.00     0.00     0.00     0.00     0.00 -1  -6.2e-14      0.00 8.395e-01 1.602e-01 4.679e-05 1.268e-05 1.155e-04 -1.000 2.586e-04 5.098 5.475 5.715 5.236 4.897 4.572 4.177 3.856 3.818
0.00034781 -1.65000 10.10000 0.7105785608 2.3828702932    0.710 -0.084  3.7873  4.474    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -7.09e-14      0.00 8.444e-01 1.553e-01 4.554e-05 1.238e-05 1.127e-04 -1.000 2.517e-04 4.979 5.337 5.580 5.114 4.783 4.465 4.078 3.762 3.728
