det_magR,RA,DEC,Reference,R,B,det_magB
2.080682,323.4081171275003,-0.8172033184809286,M2-S163,16.223,17.445,1.8107221
1.2008637,323.312498983518,-0.8169641581368771,M2-S439,15.432,16.392,0.6718436
1.9878565,323.41430387087854,-0.8166915758514959,M2-S201,16.325,17.544,1.6652927
0.03751502,323.3287041885844,-0.8161884568929688,M2-S470,14.421,15.881,-0.09921087
2.2565248,323.41043826277553,-0.815879184374303,M2-S171,16.331,17.525,1.9974445
3.135491,323.4160956304013,-0.815761894879849,M2-S217,17.19,18.331,2.7869673
0.9113647,323.38930788844846,-0.8149017829776684,M2-S30,16.072,17.301,0.13088965
2.697911,323.41225004650397,-0.8137455832324306,M2-S187,16.808,18.004,2.3339353
0.8703015,323.39294127115767,-0.8128922920251834,M2-S67,15.269,16.594,0.584247
2.1830802,323.4122816363533,-0.8124872857301174,M2-S189,16.358,17.557,1.8393407
1.0165486,323.40512420515984,-0.8120106275597542,M2-S147,15.358,16.671,0.6842481
-0.8579153,323.31336293936755,-0.8117678453367961,M2-S443,13.458,15.161,-0.7750771
0.89011544,323.39231554978494,-0.8111945315919689,M2-S64,15.544,16.845,0.54916406
1.9956455,323.39636084621645,-0.8092373413532761,M2-S93,16.615,17.797,1.626719
-0.7534483,323.3293466539045,-0.8090769033473463,M2-S471,13.6,15.262,-0.74948734
3.724662,323.40549615706954,-0.80831214924005,M2-S153,17.38,18.381,3.3001928
2.8514032,323.4031857812207,-0.8081761156463223,M2-S143,16.896,18.046,2.455058
0.83720213,323.39535319178646,-0.8076176216177818,M2-S89,15.204,16.286,0.3882715
2.3653712,323.3893845311743,-0.8072332899742488,M2-S44,16.822,17.99,1.969106
-1.0111108,323.3422960812558,-0.8069155913993349,M2-S486,13.356,15.114,-0.9444343
2.0501156,323.3868857014532,-0.8069790776695496,M2-S22,17.417,17.383,1.0774348
2.5029671,323.3134145650153,-0.8067704739918504,M2-S445,16.509,17.692,2.198673
-1.0524471,323.3245698477969,-0.8055512762336474,M2-S466,13.27,15.059,-0.9012711
-1.5543998,323.32176538959834,-0.8047916599876171,M2-S460,12.757,14.772,-1.2139333
3.1858664,323.39851686024383,-0.8043966259937368,M2-S116,17.331,18.477,2.8058324
0.99886346,323.3889579846333,-0.8041317769299888,M2-S45,15.53,16.833,0.6837154
0.9647114,323.38978036912096,-0.8032081820603537,M2-S55,15.462,16.749,0.68495274
1.6160197,323.40470522421896,-0.8027538986488336,M2-S154,15.8,16.045,0.38416868
0.74955136,323.38851685937664,-0.802536519657247,M2-S43,15.215,16.543,0.5156617
-0.49587983,323.3907355609836,-0.8003045650703593,M2-S66,13.845,15.36,-0.58508253
-0.6205801,323.3823750043792,-0.8001645332390712,M2-S548,13.768,15.415,-0.6362879
1.9231067,323.31346039945254,-0.7998360149962305,M2-S446,15.994,17.216,1.6856645
0.95831424,323.3762591800428,-0.7995828654921516,M2-S327,15.606,16.774,0.53862727
-0.34342185,323.38608925801105,-0.7996104427765881,M2-S335,14.02,15.586,-0.38685858
1.8780279,323.40799866232214,-0.7996435420844079,M2-S176,15.933,16.128,0.5337196
-1.4325323,323.39528737599426,-0.7992805103515064,M2-S568,12.888,14.845,-1.1463488
-1.1231945,323.3593482082225,-0.7980498409960204,M2-S518,13.305,15.072,-1.0906245
0.039603505,323.37341229234494,-0.796949320941958,M2-S533,14.48,15.804,-0.22302938
2.106443,323.39287772555815,-0.7969825328278423,M2-S86,16.54,16.565,0.7731768
1.1947665,323.3958923564069,-0.7964913315297021,M2-S107,15.467,16.773,0.9555874
1.6447852,323.3391796537931,-0.7964221153779206,M2-S483,16.058,16.241,0.4295281
2.1204891,323.4094002769536,-0.7956035411938158,M2-S190,16.125,16.298,0.72016776
1.9285907,323.4140100282575,-0.7956142243011235,M2-S219,16.009,17.252,1.6724908
